City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
304,Mehamn,71.0357,27.8492,broken clouds,40.91,82,81,5.3,NO
305,Dolores Hidalgo,21.1561,-100.9308,few clouds,68.86,63,14,5.75,MX
306,Ponta Do Sol,32.6667,-17.1,scattered clouds,66.7,76,28,5.08,PT
307,Sao Felix Do Xingu,-6.6447,-51.995,clear sky,68.88,90,0,1.21,BR
308,Adrar,20.5022,-10.0711,broken clouds,84.72,19,72,5.91,MR
309,Sinnamary,5.3833,-52.95,broken clouds,75.92,88,82,3.91,GF
310,Puro,12.4841,123.3827,overcast clouds,86.14,64,98,3.98,PH
311,Rocha,-34.4833,-54.3333,scattered clouds,47.35,91,43,7.05,UY
312,Chimbote,-9.0853,-78.5783,clear sky,62.82,92,5,7.4,PE
313,Mason City,43.1536,-93.201,clear sky,47.32,60,0,0.0,US
314,San Marcos,33.1434,-117.1661,overcast clouds,60.15,84,100,4.61,US
315,Zigong,29.3416,104.7769,overcast clouds,78.4,58,92,3.83,CN
316,Gamba,-2.65,10.0,overcast clouds,73.81,81,90,4.79,GA
317,Taoudenni,22.6783,-3.9836,clear sky,86.61,10,0,8.32,ML
318,Ostrovnoy,68.0531,39.5131,broken clouds,32.2,73,60,16.02,RU
319,Belaya Gora,68.5333,146.4167,broken clouds,56.08,36,60,3.04,RU
320,Katsuura,35.1333,140.3,broken clouds,67.24,74,64,16.98,JP
321,Shache,38.4167,77.2406,moderate rain,66.7,34,100,17.18,CN
322,Chokurdakh,70.6333,147.9167,overcast clouds,34.65,100,100,6.24,RU
323,Oranjestad,12.524,-70.027,few clouds,80.55,74,20,21.85,AW
324,Otane,-39.8833,176.6333,scattered clouds,56.01,80,45,0.85,NZ
325,Sinjar,36.3209,41.8754,few clouds,65.62,44,11,16.75,IQ
326,Poum,-20.2333,164.0167,scattered clouds,76.64,77,28,22.35,NC
327,Ayan,56.45,138.1667,broken clouds,34.52,90,84,12.66,RU
328,Talnakh,69.4865,88.3972,overcast clouds,34.21,95,100,3.18,RU
329,Faya,18.3851,42.4509,clear sky,70.32,18,1,1.99,SA
330,Meckenheim,50.6333,7.0167,overcast clouds,62.73,79,100,1.99,DE
331,Bentiu,9.2333,29.8333,broken clouds,81.52,66,76,3.09,SS
332,Novokayakent,42.3937,47.9861,clear sky,66.16,62,2,11.23,RU
333,Benguela,-12.5763,13.4055,clear sky,68.11,70,6,4.32,AO
334,Arinos,-15.9169,-46.1056,clear sky,58.6,71,0,2.01,BR
335,Moroto,2.5345,34.6666,light rain,69.66,73,41,3.0,UG
336,Riyadh,24.6877,46.7219,clear sky,86.14,6,0,13.58,SA
337,Ust-Tsilma,65.441,52.1498,snow,32.25,95,100,11.5,RU
338,Hasanabad,36.5465,61.0543,clear sky,70.02,43,0,11.5,IR
339,Hasaki,35.7333,140.8333,broken clouds,72.28,72,63,11.48,JP
340,Waingapu,-9.6567,120.2641,scattered clouds,86.47,62,27,13.85,ID
341,Husavik,66.0449,-17.3389,overcast clouds,37.69,96,100,4.41,IS
342,Tukrah,32.5341,20.5791,clear sky,66.36,44,0,5.68,LY
